year,Q,month
1753,6.10292604904638,4
1754,13.624521146427,4
1755,16.0775557779385,4
1756,10.0470113471003,4
1757,12.7560857052478,4
1758,12.081818416676,4
1759,11.0531100179167,4
1760,11.2363808496113,4
1761,8.71977940754065,4
1762,8.5230682183685,4
1763,9.31187755495517,4
1764,10.8123263224277,4
1765,12.2752662749179,4
1766,9.39333703519468,4
1767,11.5651838254399,4
1768,14.252471540833,4
1769,13.7643030636132,4
1770,10.2602079847538,4
1771,8.45394619209849,4
1772,11.1412566633256,4
1773,14.5428759091289,4
1774,11.3440694344873,4
1775,12.7740579862507,4
1776,12.2028867097691,4
1777,6.21037828881251,4
1778,7.14030534508491,4
1779,6.63269218531411,4
1780,3.62489186567491,4
1781,4.34638261179421,4
1782,8.1006470032082,4
1783,8.99281959863501,4
1784,3.00138569447485,4
1785,4.83622141530267,4
1786,9.21970502843601,4
1787,9.73288849457541,4
1788,5.98641333676477,4
1789,7.61736262111932,4
1790,9.71415885779759,4
1791,10.289501724998,4
1792,13.1136275822975,4
1793,10.4516868931261,4
1794,9.12234566064485,4
1795,14.2339319498419,4
1796,9.07321511544867,4
1797,10.5273953219638,4
1798,15.9065199908413,4
1799,14.0326734594296,4
1800,13.3802748822166,4
1801,13.6538509220729,4
1802,16.7160944465246,4
1803,16.9818315925542,4
1804,12.9861825652887,4
1805,11.7710426592829,4
1806,13.9652828119325,4
1807,17.794798396565,4
1808,16.7481314368021,4
1809,13.2064353193731,4
1810,15.5192290536041,4
1811,17.358941484024,4
1812,15.6018867466415,4
1813,16.4180918758648,4
1814,15.8093299176828,4
1815,10.247565952982,4
1816,13.7066884454017,4
1817,16.6964794834288,4
1818,12.0646547210775,4
1819,11.8616264748904,4
1820,18.7211200165703,4
1821,14.5696256922775,4
1822,5.76561922772585,4
1823,11.2294440302173,4
1824,13.5301911794147,4
1825,8.7755251179014,4
1826,4.46851607212626,4
1827,7.98066335786107,4
1828,6.57989592764207,4
1829,6.14825079739617,4
1830,7.30590924778576,4
1831,6.25550955246735,4
1832,7.03070992407141,4
1833,7.24656485700061,4
1834,5.27179682824493,4
1835,6.46570184658704,4
1836,10.1227287333496,4
1837,14.2891771504732,4
1838,12.5174295995467,4
1839,9.33847131934204,4
1840,9.84116597677118,4
1841,14.8798458322174,4
1842,8.54569825615001,4
1843,12.8793454090809,4
1844,11.3764252549465,4
1845,11.055726998064,4
1846,13.7702814722029,4
1847,13.947718182058,4
1848,13.8987582313061,4
1849,15.9216008938795,4
1850,14.6157457633381,4
1851,12.2479679766736,4
1852,12.1595896409705,4
1853,15.0167252844467,4
1854,11.4245497284202,4
1855,11.8075920080195,4
1856,12.9736745173845,4
1857,11.561041425132,4
1858,17.3508097306366,4
1859,17.3413130473542,4
1860,13.5114725626531,4
1861,11.1034007774748,4
1862,16.3979943090151,4
1863,11.7126783755466,4
1864,14.3493093693269,4
1865,9.12527849280251,4
1866,3.39507014480803,4
1867,9.11141831328833,4
1868,11.079810028822,4
1869,9.3633206456911,4
1870,4.7560117791689,4
1871,7.69035709864501,4
1872,14.6574508969436,4
1873,10.6514995528656,4
1874,7.00602762555621,4
1875,10.6233224274088,4
1876,13.8228908268876,4
1877,6.30110845762446,4
1878,4.17193958543543,4
1879,1.61419519931952,4
1880,9.85319166623534,4
1881,13.5641526459667,4
1882,8.17395017475963,4
1883,7.34325223500402,4
