year,month,Q
1993,2,36.3
1993,3,45.49
1993,4,38.28
1993,5,60.35
1993,6,105.5
1993,7,656.45
1993,8,411.9
1993,9,310.6
1993,10,200.47
1993,11,91.79
1993,12,46.56
1994,1,37.16
1994,2,25.09
1994,3,32.36
1994,4,39.8
1994,5,92.3
1994,6,274.1
1994,7,622.9
1994,8,2066
1994,9,948.8
1994,10,410.5
1994,11,165.5
1994,12,121.8
1995,1,53.9
1995,2,62.6
1995,3,59.5
1995,4,35.7
1995,5,42.6
1995,6,119.3
1995,7,736.6
1995,8,2078.8
1995,9,1351.5
1995,10,449.6
1995,11,258.1
1995,12,117.6
1996,1,67.2
1996,2,41
1996,3,28.4
1996,4,43.7
1996,5,59.8
1996,6,159.1
1996,7,591.8
1996,8,1016.7
1996,9,563.6
1996,10,416.9
1996,11,155.3
1996,12,83.5
1997,1,57.3
1997,2,31.2
1997,3,27.1
1997,4,36.05
1997,5,56.5
1997,6,30.83
1997,7,292.59
1997,8,640.05
1997,9,750.85
1997,10,353.23
1997,11,124.93
1997,12,61.37
1998,1,43.06
1998,2,25.06
1998,3,17.12
1998,4,34.66
1998,5,34.64
1998,6,75.48
1998,7,316.37
1998,8,379.38
1998,9,605.79
1998,10,144.28
1998,11,74.37
1998,12,46.88
1999,1,29.71
1999,2,18.42
1999,3,15.94
1999,4,25.69
1999,5,107.53
1999,6,314.15
1999,7,322.33
1999,8,1059.07
1999,9,1264.99
1999,10,408.4
1999,11,158.23
1999,12,73.8
2000,1,48.53
2000,2,32.74
2000,3,26.62
2000,4,28.36
2000,5,164.09
2000,6,247.96
2000,7,814.01
2000,8,544.45
2000,9,767.7
2000,10,291.91
2000,11,133.02
2000,12,75.44
2001,1,48.66
2001,2,21.42
2001,3,36.88
2001,4,28.13
2001,5,89.1
2001,6,142.88
2001,7,644.6
2001,8,1432.83
2001,9,923.37
2001,10,359.22
2001,11,167.87
2001,12,85.5
2002,1,59.93
2002,2,34.24
2002,3,23.2
2002,4,24.58
2002,5,302.27
2002,6,466.3
2002,7,643.61
2002,8,1035.52
2002,9,943.25
2002,10,290.79
2002,11,173.9
2002,12,127.36
2003,1,81.09
2003,2,38.62
2003,3,52.87
2003,4,36.97
2003,5,32.63
2003,6,78.75
2003,7,469.46
2003,8,695.93
2003,9,801.33
2003,10,201.17
2003,11,82.82
2003,12,45.07
2004,1,34.68
2004,2,20.41
2004,3,13.44
2004,4,28.23
2004,5,68.63
2004,6,242.34
2004,7,680.09
2004,8,919.31
2004,9,1382.07
2004,10,283.88
2004,11,110.8
2004,12,70.18
2005,1,47.78
2005,2,24.34
2005,3,19.02
2005,4,14.73
2005,5,24.71
2005,6,146.22
2005,7,351.74
2005,8,1009.91
2005,9,844.55
2005,10,432.68
2005,11,148.45
2005,12,75.54
2006,1,65.78
2006,2,38.26
2006,3,18.41
2006,4,45.73
2006,5,94.26
2006,6,88.76
2006,7,440.4
2006,8,1747.81
2006,9,814.73
2006,10,442.83
2006,11,152.43
2006,12,85.63
2007,1,54.01
2007,2,29.84
2007,3,21.94
2007,4,21.2
2007,5,93.51
2007,6,169.23
2007,7,195.16
2007,8,659.66
2007,9,689.34
2007,10,580.03
2007,11,140.61
2007,12,49.9
2008,1,19.87
2008,2,39.01
2008,3,8.12
2008,4,47.16
2008,5,135
2008,6,475.73
2008,7,1197.37
2008,8,1712.77
2008,9,740.79
2008,10,394.55
2008,11,204.06
2008,12,94.54
2009,1,49.83
2009,2,21.59
2009,3,12.57
2009,4,31.04
2009,5,59.87
2009,6,127.46
2009,7,714.16
2009,8,520.99
2009,9,409.03
2009,10,252.24
2009,11,107.46
2009,12,51.41
2010,1,38.43
2010,2,12.36
2010,3,7.75
2010,4,9.45
2010,5,42.2
2010,6,47.62
2010,7,478.83
2010,8,1566.92
2010,9,1142.55
2010,10,285.1
2010,11,115.76
2010,12,72.39
2011,1,38.62
2011,2,13.56
2011,3,23.06
2011,4,45.48
2011,5,240.68
2011,6,737.23
2011,7,1226.63
2011,8,1652.42
2011,9,1233.83
2011,10,483.75
2011,11,193.82
2011,12,107.71
2012,1,74.67
2012,2,45.81
2012,3,36.35
2012,4,57.25
2012,5,117.56
2012,6,102.86
2012,7,340.41
2012,8,766.54
2012,9,612.78
2012,10,231.31
2012,11,149.96
2012,12,107.87
2013,1,61.01
2013,2,46.39
2013,3,27.5
2013,4,20.58
2013,5,47.02
2013,6,74.51
2013,7,413.24
2013,8,837.89
2013,9,574.39
2013,10,231.46
2013,11,117.11
2013,12,95.76
2014,1,51.45
2014,2,27.47
2014,3,18.69
2014,4,21.99
2014,5,49.09
2014,6,54.84
2014,7,347.38
2014,8,725.95
2014,9,731.9
2014,10,250.95
2014,11,162.26
2014,12,73.89
2015,1,71.28
