station,year,month,Q
p1,1831,Aug,417.824541695866
p1,1831,Sep,622.712315420851
p1,1831,Oct,344.141812725961
p1,1831,Nov,225.286661647607
p1,1831,Dec,113.322039002615
p1,1832,Jan,55.1349575322415
p1,1832,Feb,65.4916102792122
p1,1832,Mar,56.2780070810648
p1,1832,Apr,37.9224267088007
p1,1832,May,84.6365280759046
p1,1832,Jun,86.9395285417266
p1,1832,Jul,97.6316368576832
p1,1832,Aug,172.399919202708
p1,1832,Sep,375.957885770764
p1,1832,Oct,269.510810510698
p1,1832,Nov,138.107644938961
p1,1832,Dec,87.7747337618426
p1,1833,Jan,24.1596480080714
p1,1833,Feb,48.2816861733078
p1,1833,Mar,42.0408400706047
p1,1833,Apr,6.48780627440224
p1,1833,May,21.5745535129286
p1,1833,Jun,70.2621419662067
p1,1833,Jul,36.6874600934931
p1,1833,Aug,269.345491344903
p1,1833,Sep,373.279157057382
p1,1833,Oct,160.809085934487
p1,1833,Nov,133.988083941344
p1,1833,Dec,94.3602070493423
p1,1834,Jan,30.7731856973183
p1,1834,Feb,50.2190636429437
p1,1834,Mar,20.1313427301007
p1,1834,Apr,15.8227691477881
p1,1834,May,89.002335302507
p1,1834,Jun,182.809618583083
p1,1834,Jul,179.016629620127
p1,1834,Aug,391.649145540505
p1,1834,Sep,374.299971205974
p1,1834,Oct,314.967950402335
p1,1834,Nov,165.288166381558
p1,1834,Dec,114.86801224944
p1,1835,Jan,46.6924013889342
p1,1835,Feb,45.1372100743452
p1,1835,Mar,30.6390612418587
p1,1835,Apr,34.4870599572866
p1,1835,May,78.3319769628744
p1,1835,Jun,112.992839777308
p1,1835,Jul,181.771131604983
p1,1835,Aug,349.195113310437
p1,1835,Sep,293.394471088561
p1,1835,Oct,308.95366759401
p1,1835,Nov,192.317492972142
p1,1835,Dec,115.390671623038
p1,1836,Jan,65.6276477222716
p1,1836,Feb,49.1232610392872
p1,1836,Mar,4.16991300873696
p1,1836,Apr,41.4844406994442
p1,1836,May,98.2407632006098
p1,1836,Jun,118.721331986002
p1,1836,Jul,203.196597511501
p1,1836,Aug,433.886538030643
p1,1836,Sep,482.310399733401
p1,1836,Oct,347.088097293319
p1,1836,Nov,146.785369365252
p1,1836,Dec,112.420961420296
p1,1837,Jan,59.1644337570118
p1,1837,Feb,21.6883091534313
p1,1837,Mar,5.11445677584778
p1,1837,Apr,29.0443385591867
p1,1837,May,58.612048661763
p1,1837,Jun,85.1776648441135
p1,1837,Jul,94.2329182354615
p1,1837,Aug,326.789945518133
p1,1837,Sep,427.215996919493
p1,1837,Oct,267.631150472406
p1,1837,Nov,177.581284065253
p1,1837,Dec,132.438245434267
p1,1838,Jan,61.8582002084443
p1,1838,Feb,30.2869780429301
p1,1838,Mar,0.01
p1,1838,Apr,17.701141734342
p1,1838,May,67.6290420977397
p1,1838,Jun,124.791321291309
p1,1838,Jul,128.790495723002
p1,1838,Aug,327.542627721742
p1,1838,Sep,345.506949603769
p1,1838,Oct,242.820963163969
p1,1838,Nov,178.31980882723
p1,1838,Dec,130.019067785842
p1,1839,Jan,78.7223646352821
p1,1839,Feb,30.6145293395512
p1,1839,Mar,10.0287476418616
p1,1839,Apr,25.0584293817516
p1,1839,May,100.021342083281
p1,1839,Jun,177.796418921538
p1,1839,Jul,199.623000910878
p1,1839,Aug,538.186094509543
p1,1839,Sep,444.020573229036
p1,1839,Oct,371.658726553389
p1,1839,Nov,183.104893606757
p1,1839,Dec,136.353440039674
p1,1840,Jan,88.1700004128382
p1,1840,Feb,51.9815343102744
p1,1840,Mar,16.314971721822
p1,1840,Apr,41.8304287166073
p1,1840,May,140.038585973243
p1,1840,Jun,164.114364911927
p1,1840,Jul,215.113951132544
p1,1840,Aug,431.090342582695
p1,1840,Sep,385.287798905222
p1,1840,Oct,396.562929713807
p1,1840,Nov,166.554669450914
p1,1840,Dec,124.797584245418
p1,1841,Jan,52.9204242695573
p1,1841,Feb,26.1694572121692
p1,1841,Mar,20.34074097463
p1,1841,Apr,21.8907511473125
p1,1841,May,81.449669171352
p1,1841,Jun,90.5348916482963
p1,1841,Jul,169.818094515256
p1,1841,Aug,372.070023057846
p1,1841,Sep,497.621274195446
p1,1841,Oct,309.688889080088
p1,1841,Nov,227.289771429588
